pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,64,65536,ours,15.164,14.365,24.107,64.2,700.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,16.953,16.098,17.729,9.6,626.3,1.0,1.0,1.1214,1.0952,1.1446,1,64,ok
api,128,65536,ours,15.099,14.431,15.741,8.7,1406.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,16.893,15.979,21.055,30.1,1256.9,1.0,1.0,1.1266,1.102,1.158,1,64,ok
api,256,65536,ours,15.04,14.529,21.784,48.2,2823.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,16.739,15.462,17.632,13.0,2537.0,1.0,1.0,1.1165,1.1062,1.1294,1,64,ok
api,512,65536,ours,27.343,26.337,28.435,7.7,3106.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,25.347,23.853,26.607,10.9,3350.8,1.0,1.0,0.9145,0.9015,0.9339,1,64,ok
