pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,64,65536,ours,15.286,14.586,25.081,68.7,694.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,15.531,12.475,17.687,33.6,683.6,1.0,1.0,0.957,0.8972,1.044,0,64,ok
api,128,65536,ours,15.226,14.461,20.652,40.7,1394.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,12.846,12.2,21.171,69.8,1652.9,1.0,1.0,0.828,0.8192,0.8496,1,64,ok
api,256,65536,ours,15.002,14.487,22.228,51.6,2830.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,12.941,12.622,13.347,5.6,3281.6,1.0,1.0,0.8486,0.8407,0.8873,1,64,ok
api,512,65536,ours,27.187,26.548,27.749,4.4,3124.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,24.112,23.606,26.446,11.8,3522.5,1.0,1.0,0.8944,0.8869,0.9006,1,64,ok
