pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,64,65536,ours,15.838,14.849,25.432,66.8,670.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,18.078,16.396,19.673,18.1,587.3,1.0,1.0,1.1395,1.1186,1.1839,1,64,ok
api,128,65536,ours,15.598,14.751,16.726,12.7,1361.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,17.513,16.19,21.035,27.7,1212.4,1.0,1.0,1.1207,1.1016,1.1569,1,64,ok
api,256,65536,ours,15.608,14.976,22.516,48.3,2720.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,17.493,15.947,18.934,17.1,2427.7,1.0,1.0,1.1142,1.1029,1.1377,1,64,ok
api,512,65536,ours,26.475,25.322,28.815,13.2,3208.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,24.434,23.975,26.585,10.7,3476.1,1.0,1.0,0.9289,0.8992,0.938,1,64,ok
