pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
raw,4096,4096,ours_raw,11.905,11.639,14.339,22.7,3567.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,4096,tquant,14.3,12.39,18.555,43.1,2969.8,1.0,1.0,1.179,1.0647,1.2017,1,64,ok
raw,4096,8192,ours_raw,27.362,25.524,27.748,8.1,3104.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,8192,tquant,27.294,25.773,29.262,12.8,3111.8,1.0,1.0,0.9982,0.992,1.0044,0,64,ok
raw,4096,16384,ours_raw,52.004,50.856,57.264,12.3,3266.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,16384,tquant,54.538,51.9,67.424,28.5,3114.7,1.0,1.0,1.0479,1.033,1.0507,1,64,ok
raw,4096,32768,ours_raw,111.537,106.253,129.86,21.2,3046.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,32768,tquant,120.188,104.536,147.819,36.0,2826.7,1.0,1.0,1.0656,1.0011,1.1207,1,64,ok
raw,4096,65536,ours_raw,227.847,207.95,245.52,16.5,2982.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,65536,tquant,256.2,210.364,288.026,30.3,2652.1,1.0,1.0,1.1249,1.1064,1.1334,1,64,ok
raw,4096,131072,ours_raw,472.546,407.86,488.075,17.0,2875.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,131072,tquant,516.653,410.51,539.29,24.9,2630.3,1.0,1.0,1.099,1.0927,1.1097,1,64,ok
api,4096,4096,ours,15.275,14.493,16.097,10.5,2780.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,4096,torch_npu,17.559,15.909,22.097,35.2,2418.5,1.0,1.0,1.1633,1.1408,1.1927,1,64,ok
api,4096,8192,ours,26.601,25.75,27.621,7.0,3193.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,8192,torch_npu,26.455,25.238,27.628,9.0,3210.5,1.0,1.0,0.9961,0.9874,1.0033,0,64,ok
api,4096,16384,ours,53.083,51.417,66.056,27.6,3200.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,16384,torch_npu,54.838,52.711,100.71,87.5,3097.6,1.0,1.0,1.0132,1.0075,1.0216,1,64,ok
api,4096,32768,ours,117.713,104.217,140.887,31.2,2886.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,32768,torch_npu,115.949,107.25,137.648,26.2,2930.1,1.0,1.0,0.982,0.9719,1.0039,0,64,ok
api,4096,65536,ours,239.856,209.102,260.729,21.5,2832.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,65536,torch_npu,240.945,209.805,292.27,34.2,2820.0,1.0,1.0,1.0163,1.0058,1.0282,1,64,ok
api,4096,131072,ours,474.25,407.82,492.28,17.8,2865.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,131072,torch_npu,503.957,413.161,536.464,24.5,2696.6,1.0,1.0,1.065,1.0528,1.0687,1,64,ok
