pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,64,65536,ours,15.602,14.65,24.579,63.6,680.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,17.858,16.068,19.492,19.2,594.5,1.0,1.0,1.1383,1.1238,1.1605,1,64,ok
api,128,65536,ours,15.676,14.805,16.386,10.1,1354.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,17.559,16.35,20.962,26.3,1209.2,1.0,1.0,1.1387,1.095,1.1601,1,64,ok
api,256,65536,ours,15.461,14.842,22.878,52.0,2746.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,17.121,16.149,18.263,12.3,2480.4,1.0,1.0,1.1115,1.0888,1.1388,1,64,ok
api,512,65536,ours,27.397,26.64,28.087,5.3,3100.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,25.859,24.05,26.792,10.6,3284.5,1.0,1.0,0.9353,0.9169,0.9439,1,64,ok
