pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
raw,4096,4096,ours_raw,12.125,11.564,14.339,22.9,3502.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,4096,tquant,14.291,12.408,19.034,46.4,2971.5,1.0,1.0,1.0747,1.0482,1.1814,1,64,ok
raw,4096,8192,ours_raw,27.432,25.266,27.877,9.5,3096.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,8192,tquant,27.336,25.698,29.135,12.6,3107.0,1.0,1.0,0.9994,0.993,1.0057,0,64,ok
raw,4096,16384,ours_raw,51.226,50.639,59.658,17.6,3316.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,16384,tquant,53.436,51.97,74.325,41.8,3178.9,1.0,1.0,1.0432,1.0336,1.0476,1,64,ok
raw,4096,32768,ours_raw,113.473,106.027,118.813,11.3,2994.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,32768,tquant,121.881,104.447,141.991,30.8,2787.5,1.0,1.0,1.0733,1.0011,1.1141,1,64,ok
raw,4096,65536,ours_raw,228.694,207.939,256.094,21.1,2971.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,65536,tquant,257.218,210.025,285.61,29.4,2641.6,1.0,1.0,1.1135,1.0962,1.1239,1,64,ok
raw,4096,131072,ours_raw,474.279,407.781,505.72,20.7,2865.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,131072,tquant,517.837,411.454,538.141,24.5,2624.3,1.0,1.0,1.0957,1.0854,1.1091,1,64,ok
api,4096,4096,ours,15.492,14.774,16.938,14.0,2741.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,4096,torch_npu,17.615,16.727,22.621,33.5,2410.8,1.0,1.0,1.1615,1.1053,1.1769,1,64,ok
api,4096,8192,ours,26.12,25.478,28.027,9.8,3251.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,8192,torch_npu,27.063,25.212,28.102,10.7,3138.4,1.0,1.0,1.0139,0.9977,1.0389,0,64,ok
api,4096,16384,ours,54.102,51.397,71.488,37.1,3139.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,16384,torch_npu,55.103,52.8,67.158,26.1,3082.8,1.0,1.0,1.0117,1.0021,1.0264,1,64,ok
api,4096,32768,ours,117.908,103.97,139.04,29.7,2881.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,32768,torch_npu,116.92,107.317,129.625,19.1,2905.7,1.0,1.0,0.9839,0.9716,0.994,1,64,ok
api,4096,65536,ours,237.257,209.011,268.95,25.3,2863.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,65536,torch_npu,239.153,209.512,287.457,32.6,2841.2,1.0,1.0,1.0021,0.9894,1.0111,0,64,ok
api,4096,131072,ours,473.282,409.354,517.208,22.8,2871.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,131072,torch_npu,503.605,412.901,520.212,21.3,2698.5,1.0,1.0,1.0619,1.0512,1.0702,1,64,ok
