pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,256,65536,ours,15.317,14.75,18.166,22.3,2772.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,13.245,12.798,19.102,47.6,3206.4,1.0,1.0,0.8597,0.841,0.8913,1,64,ok
api,512,65536,ours,27.409,26.827,28.008,4.3,3098.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,24.705,23.895,28.694,19.4,3437.9,1.0,1.0,0.9043,0.8891,0.9133,1,64,ok
api,768,65536,ours,40.327,38.216,40.929,6.7,3159.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,768,65536,torch_npu,42.425,41.49,43.223,4.1,3003.0,1.0,1.0,1.0508,1.0485,1.0528,1,64,ok
api,1024,65536,ours,53.575,50.407,64.016,25.4,3170.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1024,65536,torch_npu,55.925,53.701,63.279,17.1,3037.4,1.0,1.0,1.0383,1.0305,1.0587,1,64,ok
api,1280,65536,ours,71.468,66.332,79.531,18.5,2971.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1280,65536,torch_npu,74.053,69.001,91.918,30.9,2867.4,1.0,1.0,1.0582,1.0501,1.0645,1,64,ok
api,1536,65536,ours,89.559,81.166,107.791,29.7,2845.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1536,65536,torch_npu,86.094,79.124,97.366,21.2,2959.6,1.0,1.0,0.9649,0.9505,0.9755,1,64,ok
