pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,256,65536,ours,15.426,14.522,16.709,14.2,2753.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,19.384,13.202,29.486,84.0,2190.8,1.0,1.0,1.2321,1.2002,1.3136,1,64,ok
api,512,65536,ours,27.482,25.853,28.215,8.6,3090.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,25.262,23.651,28.28,18.3,3362.1,1.0,1.0,0.9162,0.9056,0.9447,1,64,ok
api,768,65536,ours,38.407,37.532,40.545,7.8,3317.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,768,65536,torch_npu,42.981,42.182,44.674,5.8,2964.2,1.0,1.0,1.1186,1.1009,1.1242,1,64,ok
api,1024,65536,ours,53.749,51.21,64.259,24.3,3160.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1024,65536,torch_npu,55.92,53.369,63.805,18.7,3037.7,1.0,1.0,1.0184,1.0119,1.0331,1,64,ok
api,1280,65536,ours,71.269,66.513,84.035,24.6,2979.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1280,65536,torch_npu,74.814,69.315,89.169,26.5,2838.2,1.0,1.0,1.0611,1.0354,1.0675,1,64,ok
api,1536,65536,ours,91.569,80.889,104.075,25.3,2782.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1536,65536,torch_npu,86.953,79.949,97.326,20.0,2930.4,1.0,1.0,0.9688,0.9546,0.9812,1,64,ok
