pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
raw,64,65536,ours_raw,5.127,5.06,11.451,124.7,2070.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,64,65536,tquant,5.397,5.332,5.565,4.3,1967.3,1.0,1.0,1.0531,1.0488,1.0578,1,64,ok
raw,128,65536,ours_raw,8.655,7.625,9.409,20.6,2453.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,128,65536,tquant,8.653,8.024,13.723,65.9,2453.8,1.0,1.0,1.0037,0.9975,1.0086,0,64,ok
raw,256,65536,ours_raw,13.772,11.544,14.463,21.2,3083.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,256,65536,tquant,13.821,13.332,14.685,9.8,3072.6,1.0,1.0,1.0065,1.0025,1.0166,1,64,ok
raw,512,65536,ours_raw,26.88,25.015,27.383,8.8,3159.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,512,65536,tquant,26.789,25.819,28.384,9.6,3170.5,1.0,1.0,0.9974,0.9939,1.0004,0,64,ok
raw,1024,65536,ours_raw,52.916,50.653,57.734,13.4,3210.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,1024,65536,tquant,52.997,51.182,69.614,34.8,3205.3,1.0,1.0,1.01,1.0003,1.0246,1,64,ok
raw,2048,65536,ours_raw,110.393,104.604,119.318,13.3,3077.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,2048,65536,tquant,126.708,105.128,145.259,31.7,2681.3,1.0,1.0,1.1397,1.0286,1.1601,1,64,ok
api,64,65536,ours,15.289,14.439,15.904,9.6,694.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,17.286,16.251,21.353,29.5,614.2,1.0,1.0,1.1634,1.113,1.18,1,64,ok
api,128,65536,ours,15.304,14.436,23.899,61.8,1387.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,17.412,16.228,19.216,17.2,1219.5,1.0,1.0,1.1479,1.1073,1.1775,1,64,ok
api,256,65536,ours,15.265,14.635,15.892,8.2,2782.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,16.91,16.084,20.591,26.7,2511.4,1.0,1.0,1.112,1.0986,1.1317,1,64,ok
api,512,65536,ours,27.209,26.362,27.94,5.8,3121.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,25.8,23.821,29.674,22.7,3292.0,1.0,1.0,0.9533,0.9307,0.9612,1,64,ok
api,1024,65536,ours,53.606,52.099,61.082,16.8,3168.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1024,65536,torch_npu,55.493,53.759,60.412,12.0,3061.1,1.0,1.0,1.0303,1.0178,1.0375,1,64,ok
api,2048,65536,ours,117.766,105.692,141.294,30.2,2884.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,2048,65536,torch_npu,115.153,107.903,131.769,20.7,2950.3,1.0,1.0,0.9839,0.9693,0.9976,1,64,ok
