pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,64,65536,ours,16.234,15.13,27.416,75.7,654.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,17.576,15.653,18.677,17.2,604.1,1.0,1.0,1.0643,1.0541,1.1156,1,64,ok
api,128,65536,ours,16.061,15.145,17.156,12.5,1322.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,16.928,15.735,21.035,31.3,1254.3,1.0,1.0,1.0607,1.0205,1.0855,1,64,ok
api,256,65536,ours,15.997,15.092,24.292,57.5,2654.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,16.783,15.728,17.629,11.3,2530.4,1.0,1.0,1.051,1.0333,1.0772,1,64,ok
api,512,65536,ours,26.306,25.407,28.165,10.5,3228.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,25.275,23.894,26.697,11.1,3360.5,1.0,1.0,0.9558,0.9431,0.9767,1,64,ok
