pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,256,65536,ours,15.698,14.799,17.64,18.1,2705.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,18.213,16.046,22.204,33.8,2331.8,1.0,1.0,1.1492,1.1325,1.2087,1,64,ok
api,512,65536,ours,27.415,25.709,28.322,9.5,3098.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,24.819,23.764,29.213,22.0,3422.1,1.0,1.0,0.925,0.9006,0.9324,1,64,ok
api,768,65536,ours,39.567,37.734,40.565,7.2,3219.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,768,65536,torch_npu,43.735,42.285,45.572,7.5,2913.1,1.0,1.0,1.1151,1.0876,1.1268,1,64,ok
api,1024,65536,ours,53.439,51.286,63.392,22.7,3178.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1024,65536,torch_npu,55.747,53.559,62.867,16.7,3047.1,1.0,1.0,1.0346,1.0194,1.0395,1,64,ok
api,1280,65536,ours,71.023,66.505,80.658,19.9,2989.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1280,65536,torch_npu,73.798,69.437,89.622,27.4,2877.2,1.0,1.0,1.0494,1.0334,1.0613,1,64,ok
api,1536,65536,ours,89.515,80.758,104.22,26.2,2846.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1536,65536,torch_npu,85.101,79.868,96.785,19.9,2994.1,1.0,1.0,0.9701,0.958,0.9838,1,64,ok
