pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,256,65536,ours,15.7,14.632,17.595,18.9,2704.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,18.023,16.153,23.334,39.8,2356.3,1.0,1.0,1.1507,1.1331,1.1902,1,64,ok
api,512,65536,ours,27.445,26.093,28.537,8.9,3094.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,26.985,25.817,30.218,16.3,3147.5,1.0,1.0,0.9812,0.9606,0.9982,1,64,ok
api,768,65536,ours,39.811,37.836,41.112,8.2,3200.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,768,65536,torch_npu,42.214,41.284,45.371,9.7,3018.0,1.0,1.0,1.0852,1.0739,1.0888,1,64,ok
api,1024,65536,ours,54.038,50.22,64.321,26.1,3143.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1024,65536,torch_npu,56.613,53.814,62.379,15.1,3000.5,1.0,1.0,1.0432,1.0198,1.059,1,64,ok
api,1280,65536,ours,71.499,66.369,78.794,17.4,2969.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1280,65536,torch_npu,76.579,69.434,86.379,22.1,2772.8,1.0,1.0,1.0713,1.0534,1.0825,1,64,ok
api,1536,65536,ours,87.622,80.966,105.404,27.9,2908.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1536,65536,torch_npu,83.719,79.464,103.101,28.2,3043.6,1.0,1.0,0.9779,0.9641,0.9798,1,64,ok
