pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,64,65536,ours,14.827,14.21,24.593,70.0,716.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,16.381,15.425,17.186,10.8,648.1,1.0,1.0,1.1038,1.0875,1.1364,1,64,ok
api,128,65536,ours,14.713,14.162,15.597,9.8,1443.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,16.126,15.229,19.966,29.4,1316.7,1.0,1.0,1.1063,1.0776,1.1185,1,64,ok
api,256,65536,ours,14.7,14.328,21.73,50.4,2888.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,15.83,14.981,16.556,9.9,2682.8,1.0,1.0,1.0759,1.0626,1.0957,1,64,ok
api,512,65536,ours,26.548,26.021,27.697,6.3,3199.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,24.592,23.974,26.123,8.7,3453.7,1.0,1.0,0.9226,0.92,0.9332,1,64,ok
