pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
raw,4096,4096,ours_raw,13.608,11.523,14.265,20.1,3120.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,4096,tquant,14.105,12.159,18.766,46.8,3010.9,1.0,1.0,1.025,1.0101,1.0481,1,64,ok
raw,4096,8192,ours_raw,27.046,25.741,27.829,7.7,3140.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,8192,tquant,27.047,25.726,28.934,11.9,3140.3,1.0,1.0,0.9988,0.9905,1.0045,0,64,ok
raw,4096,16384,ours_raw,52.866,50.679,60.926,19.4,3213.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,16384,tquant,53.045,52.115,73.862,41.0,3202.3,1.0,1.0,1.0142,1.0041,1.0243,1,64,ok
raw,4096,32768,ours_raw,113.892,106.112,124.373,16.0,2983.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,32768,tquant,122.984,104.317,144.955,33.0,2762.5,1.0,1.0,1.0808,1.0214,1.1308,1,64,ok
raw,4096,65536,ours_raw,226.859,208.06,256.355,21.3,2995.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,65536,tquant,260.353,210.439,282.504,27.7,2609.8,1.0,1.0,1.1367,1.1048,1.1497,1,64,ok
raw,4096,131072,ours_raw,472.741,408.15,490.637,17.4,2874.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,131072,tquant,519.326,410.066,539.681,25.0,2616.8,1.0,1.0,1.1028,1.0921,1.1083,1,64,ok
api,4096,4096,ours,15.628,14.862,16.412,9.9,2717.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,4096,torch_npu,17.529,16.573,22.706,35.0,2422.7,1.0,1.0,1.1277,1.1086,1.1592,1,64,ok
api,4096,8192,ours,27.083,25.64,28.205,9.5,3136.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,8192,torch_npu,26.301,25.447,28.053,9.9,3229.4,1.0,1.0,0.9842,0.9691,0.9952,1,64,ok
api,4096,16384,ours,53.377,51.265,64.241,24.3,3182.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,16384,torch_npu,54.666,52.721,62.174,17.3,3107.4,1.0,1.0,1.0262,1.0181,1.0285,1,64,ok
api,4096,32768,ours,120.168,104.425,146.421,34.9,2827.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,32768,torch_npu,116.095,107.441,131.888,21.1,2926.4,1.0,1.0,0.9808,0.9685,0.9986,1,64,ok
api,4096,65536,ours,236.505,208.606,267.833,25.0,2873.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,65536,torch_npu,238.29,209.351,296.273,36.5,2851.5,1.0,1.0,1.0119,0.9984,1.0208,0,64,ok
api,4096,131072,ours,475.071,407.499,500.449,19.6,2860.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,131072,torch_npu,500.828,412.475,528.783,23.2,2713.4,1.0,1.0,1.0554,1.0459,1.0603,1,64,ok
