pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,256,65536,ours,15.304,14.609,17.852,21.2,2774.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,16.73,15.744,21.86,36.6,2538.4,1.0,1.0,1.0961,1.0767,1.1206,1,64,ok
api,512,65536,ours,27.509,25.547,28.363,10.2,3087.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,24.429,23.778,28.806,20.6,3476.8,1.0,1.0,0.8997,0.8869,0.9329,1,64,ok
api,768,65536,ours,38.269,37.577,40.594,7.9,3329.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,768,65536,torch_npu,44.266,42.392,45.19,6.3,2878.1,1.0,1.0,1.1531,1.1379,1.1575,1,64,ok
api,1024,65536,ours,56.224,50.939,64.828,24.7,3021.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1024,65536,torch_npu,57.397,53.681,64.391,18.7,2959.5,1.0,1.0,1.0192,1.0113,1.0314,1,64,ok
api,1280,65536,ours,71.512,66.446,75.544,12.7,2969.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1280,65536,torch_npu,74.552,69.609,86.394,22.5,2848.1,1.0,1.0,1.0545,1.0491,1.068,1,64,ok
api,1536,65536,ours,88.842,79.793,103.613,26.8,2868.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1536,65536,torch_npu,86.507,80.092,99.914,22.9,2945.5,1.0,1.0,0.9743,0.9667,0.984,1,64,ok
