pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,64,65536,ours,15.477,14.532,24.583,64.9,686.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,17.298,16.096,18.068,11.4,613.8,1.0,1.0,1.1192,1.0965,1.1635,1,64,ok
api,128,65536,ours,15.273,14.486,15.852,8.9,1390.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,17.014,15.82,20.175,25.6,1248.0,1.0,1.0,1.1279,1.1087,1.1506,1,64,ok
api,256,65536,ours,15.316,14.597,21.752,46.7,2772.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,16.632,15.584,17.894,13.9,2553.3,1.0,1.0,1.0781,1.0675,1.106,1,64,ok
api,512,65536,ours,27.836,25.574,28.363,10.0,3051.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,24.354,23.746,26.671,12.0,3487.6,1.0,1.0,0.8888,0.8816,0.8972,1,64,ok
