pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
raw,64,65536,ours_raw,5.106,5.024,11.845,133.6,2079.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,64,65536,tquant,5.405,5.321,5.694,6.9,1964.3,1.0,1.0,1.0597,1.0543,1.0637,1,64,ok
raw,128,65536,ours_raw,8.925,8.665,9.783,12.5,2379.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,128,65536,tquant,8.896,7.246,13.428,69.5,2386.8,1.0,1.0,1.0024,0.9931,1.0066,0,64,ok
raw,256,65536,ours_raw,13.879,11.512,14.403,20.8,3059.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,256,65536,tquant,14.046,12.129,14.783,18.9,3023.4,1.0,1.0,1.0286,1.0117,1.1377,1,64,ok
raw,512,65536,ours_raw,26.978,25.102,27.598,9.3,3148.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,512,65536,tquant,26.944,25.999,28.498,9.3,3152.2,1.0,1.0,0.9998,0.9915,1.005,0,64,ok
raw,1024,65536,ours_raw,52.963,50.557,58.872,15.7,3207.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,1024,65536,tquant,53.134,51.188,68.985,33.5,3197.0,1.0,1.0,1.0153,1.0063,1.0364,1,64,ok
raw,2048,65536,ours_raw,110.735,104.609,118.587,12.6,3068.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,2048,65536,tquant,127.44,105.005,145.276,31.6,2665.9,1.0,1.0,1.129,1.044,1.1625,1,64,ok
api,64,65536,ours,15.558,14.683,16.586,12.2,682.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,16.971,15.634,21.47,34.4,625.6,1.0,1.0,1.0877,1.0706,1.1344,1,64,ok
api,128,65536,ours,15.82,14.83,24.501,61.1,1342.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,17.068,15.936,18.172,13.1,1244.1,1.0,1.0,1.0722,1.0549,1.118,1,64,ok
api,256,65536,ours,15.621,14.875,16.586,10.9,2718.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,16.829,15.915,20.573,27.7,2523.5,1.0,1.0,1.0748,1.0614,1.1064,1,64,ok
api,512,65536,ours,26.743,25.567,28.263,10.1,3176.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,24.606,23.68,28.237,18.5,3451.7,1.0,1.0,0.9282,0.9016,0.9426,1,64,ok
api,1024,65536,ours,53.369,50.886,63.032,22.8,3182.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1024,65536,torch_npu,55.638,53.409,62.872,17.0,3053.1,1.0,1.0,1.0386,1.0248,1.0452,1,64,ok
api,2048,65536,ours,117.857,105.373,145.735,34.2,2882.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,2048,65536,torch_npu,115.708,107.741,134.923,23.5,2936.2,1.0,1.0,0.9868,0.9629,0.9977,1,64,ok
