pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
raw,4096,4096,ours_raw,13.269,12.357,14.559,16.6,3200.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,4096,tquant,13.278,12.628,20.595,60.0,3198.3,1.0,1.0,1.0011,0.9995,1.004,0,64,ok
raw,4096,8192,ours_raw,26.173,25.472,27.051,6.0,3245.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,8192,tquant,26.208,25.824,29.945,15.7,3240.8,1.0,1.0,1.0018,1.0006,1.0035,1,64,ok
raw,4096,16384,ours_raw,51.89,50.966,59.564,16.6,3273.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,16384,tquant,54.469,51.826,72.705,38.3,3118.6,1.0,1.0,1.0493,1.0411,1.0506,1,64,ok
raw,4096,32768,ours_raw,111.412,106.038,125.189,17.2,3049.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,32768,tquant,118.652,104.524,147.502,36.2,2863.3,1.0,1.0,1.0662,1.0007,1.1266,1,64,ok
raw,4096,65536,ours_raw,228.477,208.449,245.743,16.3,2973.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,65536,tquant,258.522,210.014,292.568,31.9,2628.3,1.0,1.0,1.1155,1.0985,1.1394,1,64,ok
raw,4096,131072,ours_raw,472.846,407.884,493.36,18.1,2874.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,4096,131072,tquant,518.226,411.728,535.206,23.8,2622.3,1.0,1.0,1.0981,1.0923,1.1055,1,64,ok
api,4096,4096,ours,15.0,14.312,16.055,11.6,2831.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,4096,torch_npu,16.91,15.741,21.562,34.4,2511.4,1.0,1.0,1.1369,1.0975,1.1615,1,64,ok
api,4096,8192,ours,26.458,25.411,27.965,9.7,3210.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,8192,torch_npu,25.936,25.203,27.72,9.7,3274.8,1.0,1.0,0.9865,0.9807,0.9931,1,64,ok
api,4096,16384,ours,53.482,51.802,66.385,27.3,3176.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,16384,torch_npu,54.345,52.783,61.346,15.8,3125.8,1.0,1.0,1.0048,0.9977,1.0166,0,64,ok
api,4096,32768,ours,118.421,104.017,141.179,31.4,2868.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,32768,torch_npu,116.053,107.341,141.619,29.5,2927.4,1.0,1.0,0.9843,0.97,0.9927,1,64,ok
api,4096,65536,ours,240.971,209.026,263.776,22.7,2819.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,65536,torch_npu,234.132,209.085,272.938,27.3,2902.1,1.0,1.0,0.9981,0.9811,1.0081,0,64,ok
api,4096,131072,ours,474.992,407.828,492.029,17.7,2861.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,4096,131072,torch_npu,503.482,412.607,519.844,21.3,2699.1,1.0,1.0,1.0615,1.0553,1.0684,1,64,ok
