pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
raw,64,65536,ours_raw,5.104,5.027,11.952,135.7,2080.2,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,64,65536,tquant,5.428,5.323,5.633,5.7,1956.1,1.0,1.0,1.0631,1.0598,1.0684,1,64,ok
raw,128,65536,ours_raw,8.765,7.203,9.126,21.9,2422.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,128,65536,tquant,8.745,7.559,14.025,73.9,2428.1,1.0,1.0,1.0027,0.9951,1.0064,0,64,ok
raw,256,65536,ours_raw,13.966,11.598,14.394,20.0,3040.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,256,65536,tquant,13.97,13.737,14.762,7.3,3039.8,1.0,1.0,1.0047,1.0002,1.0117,1,64,ok
raw,512,65536,ours_raw,26.897,25.145,27.625,9.2,3157.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,512,65536,tquant,26.912,25.807,28.364,9.5,3156.0,1.0,1.0,1.0003,0.995,1.0021,0,64,ok
raw,1024,65536,ours_raw,52.933,50.612,55.945,10.1,3209.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,1024,65536,tquant,52.937,51.072,66.105,28.4,3208.9,1.0,1.0,1.0012,0.9973,1.0141,0,64,ok
raw,2048,65536,ours_raw,109.131,104.869,131.296,24.2,3113.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
raw,2048,65536,tquant,118.266,105.02,149.666,37.8,2872.7,1.0,1.0,1.0743,1.0248,1.1408,1,64,ok
api,64,65536,ours,14.927,14.293,16.637,15.7,711.3,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,16.281,15.192,20.665,33.6,652.1,1.0,1.0,1.1086,1.0722,1.1274,1,64,ok
api,128,65536,ours,15.108,14.48,23.258,58.1,1405.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,16.481,15.658,17.623,11.9,1288.4,1.0,1.0,1.0856,1.0789,1.1084,1,64,ok
api,256,65536,ours,15.072,14.651,15.776,7.5,2817.6,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,16.277,14.992,20.22,32.1,2609.0,1.0,1.0,1.0753,1.0643,1.1019,1,64,ok
api,512,65536,ours,27.617,25.899,28.733,10.3,3075.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,25.731,23.788,28.307,17.6,3300.9,1.0,1.0,0.9257,0.9103,0.9449,1,64,ok
api,1024,65536,ours,54.081,51.008,67.208,30.0,3141.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,1024,65536,torch_npu,56.701,53.567,63.823,18.1,2995.9,1.0,1.0,1.0258,1.02,1.039,1,64,ok
api,2048,65536,ours,120.582,104.278,141.186,30.6,2817.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,2048,65536,torch_npu,117.127,107.733,143.003,30.1,2900.6,1.0,1.0,0.979,0.9631,0.999,1,64,ok
