pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,64,65536,ours,15.282,14.432,24.405,65.3,694.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,17.466,16.496,18.614,12.1,607.9,1.0,1.0,1.1467,1.1273,1.193,1,64,ok
api,128,65536,ours,15.169,14.384,15.761,9.1,1399.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,17.093,16.268,21.542,30.9,1242.3,1.0,1.0,1.1506,1.1189,1.166,1,64,ok
api,256,65536,ours,15.052,14.445,22.103,50.9,2821.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,16.892,15.798,22.582,40.2,2514.1,1.0,1.0,1.127,1.1124,1.1473,1,64,ok
api,512,65536,ours,27.007,26.09,27.668,5.8,3144.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,25.542,23.842,42.827,74.3,3325.3,1.0,1.0,0.9444,0.933,0.9498,1,64,ok
