pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,64,65536,ours,15.116,14.501,23.935,62.4,702.4,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,16.535,15.701,18.159,14.9,642.1,1.0,1.0,1.0889,1.0828,1.12,1,64,ok
api,128,65536,ours,14.854,14.361,16.415,13.8,1429.5,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,16.298,14.521,20.052,33.9,1302.9,1.0,1.0,1.0987,1.0801,1.1171,1,64,ok
api,256,65536,ours,14.823,14.482,22.056,51.1,2864.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,16.098,15.155,17.09,12.0,2638.0,1.0,1.0,1.0786,1.0727,1.0924,1,64,ok
api,512,65536,ours,27.276,25.525,27.942,8.9,3113.8,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,25.43,24.118,26.572,9.7,3340.0,1.0,1.0,0.9321,0.9201,0.9409,1,64,ok
