pair,k,batch,contender,micros,p_lo,p_hi,spread_pct,gbs,packed_match,scale_match,speedup,speedup_lo,speedup_hi,resolved,brackets_n,status
api,64,65536,ours,15.947,14.964,25.372,65.3,665.7,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,64,65536,torch_npu,17.196,16.178,18.13,11.4,617.4,1.0,1.0,1.0908,1.0632,1.131,1,64,ok
api,128,65536,ours,15.342,14.652,16.432,11.6,1384.0,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,128,65536,torch_npu,16.6,15.344,20.968,33.9,1279.1,1.0,1.0,1.089,1.0649,1.1121,1,64,ok
api,256,65536,ours,15.342,14.779,21.606,44.5,2768.1,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,256,65536,torch_npu,15.957,14.943,16.842,11.9,2661.4,1.0,1.0,1.0361,1.0243,1.0529,1,64,ok
api,512,65536,ours,27.586,26.721,28.246,5.5,3078.9,1.0,1.0,1.0,1.0,1.0,0,64,ok
api,512,65536,torch_npu,24.958,24.135,26.321,8.8,3403.1,1.0,1.0,0.9003,0.8952,0.9058,1,64,ok
