m,m_run,kn,bf16_us,vendor_us,ours_us,ours_vs_bf16,vendor_vs_bf16,ours_vs_vendor,bf16_tfs,vendor_tfs,ours_tfs,padded,reps,spread_pct,copy_gbs
1,16,512,29.02,39.855,20.67,1.404,0.728,1.928,0,0,0,1,100,68.8,1432
2,16,512,24.4,36.99,20.075,1.215,0.66,1.843,0,0,0,1,100,451.5,1432
4,16,512,22.705,33.635,19.225,1.181,0.675,1.75,0,0,0,1,100,62.8,1432
8,16,512,23.26,33.87,19.185,1.212,0.687,1.765,0,0,0,1,100,69.9,1432
16,16,512,23.605,34.605,19.11,1.235,0.682,1.811,0,0,0,0,100,72.9,1432
32,128,512,22.645,35.055,20.13,1.125,0.646,1.741,1,0,1,1,100,60.2,1432
64,128,512,23.035,34.155,19.935,1.156,0.674,1.713,1,1,2,1,100,125.2,1432
128,128,512,22.945,33.6,20.065,1.144,0.683,1.675,3,2,3,0,100,40.4,1432
256,256,512,23.575,33.02,19.81,1.19,0.714,1.667,6,4,7,0,100,38.4,1432
512,512,512,24.15,33.87,20.115,1.201,0.713,1.684,11,8,13,0,100,86.0,1432
1024,1024,512,25.24,34.275,19.99,1.263,0.736,1.715,21,16,27,0,100,36.4,1432
2048,2048,512,27.65,35.65,20.695,1.336,0.776,1.723,39,30,52,0,100,47.0,1432
4096,4096,512,32.315,37.735,23.195,1.393,0.856,1.627,66,57,93,0,100,31.7,1432
8192,8192,512,39.495,39.755,26.195,1.508,0.993,1.518,109,108,164,0,100,54.4,1432
16384,16384,512,52.58,46.94,32.505,1.618,1.12,1.444,163,183,264,0,100,24.1,1432
32768,32768,512,79.35,59.59,46.135,1.72,1.332,1.292,217,288,372,0,100,25.5,1432
1,16,1024,25.28,34.095,20.26,1.248,0.741,1.683,0,0,0,1,100,58.4,1432
2,16,1024,25.66,34.63,20.13,1.275,0.741,1.72,0,0,0,1,100,47.1,1432
4,16,1024,25.605,35.065,20.425,1.254,0.73,1.717,0,0,0,1,100,56.4,1432
8,16,1024,25.475,34.705,20.135,1.265,0.734,1.724,1,0,1,1,100,57.8,1432
16,16,1024,26.05,34.92,20.35,1.28,0.746,1.716,1,1,2,0,100,91.5,1432
32,128,1024,26.14,35.28,21.67,1.206,0.741,1.628,3,2,3,1,100,201.7,1432
64,128,1024,25.92,34.655,21.41,1.211,0.748,1.619,5,4,6,1,100,199.1,1432
128,128,1024,27.005,35.175,21.505,1.256,0.768,1.636,10,8,12,0,100,44.1,1432
256,256,1024,27.48,35.57,21.715,1.265,0.773,1.638,20,15,25,0,100,29.0,1432
512,512,1024,28.605,36.55,22.3,1.283,0.783,1.639,38,29,48,0,100,26.6,1432
1024,1024,1024,32.03,37.88,22.595,1.418,0.846,1.676,67,57,95,0,100,36.6,1432
2048,2048,1024,36.605,40.415,25.03,1.462,0.906,1.615,117,106,172,0,100,20.1,1432
4096,4096,1024,47.22,42.625,29.98,1.575,1.108,1.422,182,202,287,0,100,24.6,1432
8192,8192,1024,67.635,49.01,38.36,1.763,1.38,1.278,254,351,448,0,100,48.1,1432
16384,16384,1024,109.07,62.015,54.715,1.993,1.759,1.133,315,554,628,0,100,22.8,1432
32768,32768,1024,191.42,88.105,84.805,2.257,2.173,1.039,359,780,810,0,100,70.0,1432
1,16,2048,32.085,35.16,22.34,1.436,0.913,1.574,0,0,0,1,100,94.8,1432
2,16,2048,31.485,34.5,21.78,1.446,0.913,1.584,1,0,1,1,100,40.6,1432
4,16,2048,31.07,34.77,21.79,1.426,0.894,1.596,1,1,2,1,100,38.0,1432
8,16,2048,31.21,34.78,21.455,1.455,0.897,1.621,2,2,3,1,100,33.7,1432
16,16,2048,31.46,34.63,21.685,1.451,0.908,1.597,4,4,6,0,100,36.7,1432
32,128,2048,32.125,35.465,23.345,1.376,0.906,1.519,8,8,11,1,100,38.4,1432
64,128,2048,33.005,35.67,23.36,1.413,0.925,1.527,16,15,23,1,100,59.5,1432
128,128,2048,35.035,36.885,23.015,1.522,0.95,1.603,31,29,47,0,100,43.9,1432
256,256,2048,35.935,37.845,23.73,1.514,0.95,1.595,60,57,90,0,100,47.1,1432
512,512,2048,39.535,39.19,24.155,1.637,1.009,1.622,109,110,178,0,100,32.7,1432
1024,1024,2048,46.35,41.585,27.005,1.716,1.115,1.54,185,207,318,0,100,31.6,1432
2048,2048,2048,66.34,47.295,34.16,1.942,1.403,1.385,259,363,503,0,100,29.6,1432
4096,4096,2048,108.675,58.34,47.49,2.288,1.863,1.228,316,589,724,0,100,118.4,1432
8192,8192,2048,188.67,77.875,72.42,2.605,2.423,1.075,364,882,949,0,100,17.3,1432
16384,16384,2048,352.07,124.12,126.27,2.788,2.837,0.983,390,1107,1088,0,100,17.0,1432
32768,32768,2048,673.65,209.35,222.395,3.029,3.218,0.941,408,1313,1236,0,100,6.1,1432
1,16,3072,45.015,41.99,26.405,1.705,1.072,1.59,0,0,1,1,100,47.5,1432
2,16,3072,45.2,41.5,26.295,1.719,1.089,1.578,1,1,1,1,100,30.9,1432
4,16,3072,45.455,42.195,26.37,1.724,1.077,1.6,2,2,3,1,100,44.3,1432
8,16,3072,45.23,40.96,26.365,1.716,1.104,1.554,3,4,6,1,100,32.7,1432
16,16,3072,44.965,41.345,26.55,1.694,1.088,1.557,7,7,11,0,100,37.7,1432
32,128,3072,45.975,42.37,28.34,1.622,1.085,1.495,13,14,21,1,100,37.2,1432
64,128,3072,47.05,41.81,27.8,1.692,1.125,1.504,26,29,43,1,100,41.4,1432
128,128,3072,50.615,43.63,27.505,1.84,1.16,1.586,48,55,88,0,100,35.2,1432
256,256,3072,55.79,47.84,28.225,1.977,1.166,1.695,87,101,171,0,100,26.9,1432
512,512,3072,60.61,49.34,33.94,1.786,1.228,1.454,159,196,285,0,100,23.2,1432
1024,1024,3072,77.36,53.69,40.15,1.927,1.441,1.337,250,360,481,0,100,17.6,1432
2048,2048,3072,120.89,65.065,50.585,2.39,1.858,1.286,320,594,764,0,100,43.4,1432
4096,4096,3072,211.47,87.47,77.08,2.744,2.418,1.135,366,884,1003,0,100,36.0,1432
8192,8192,3072,391.86,134.895,131.78,2.974,2.905,1.024,395,1146,1173,0,100,11.2,1432
16384,16384,3072,751.865,226.36,236.595,3.178,3.322,0.957,411,1366,1307,0,100,7.3,1432
32768,32768,3072,1469.935,407.845,441.1,3.332,3.604,0.925,421,1516,1402,0,100,3.1,1432
1,16,4096,62.99,43.675,29.66,2.124,1.442,1.473,1,1,1,1,100,23.4,1432
2,16,4096,63.115,44.16,30.305,2.083,1.429,1.457,1,2,2,1,100,39.8,1432
4,16,4096,63.395,43.99,30.42,2.084,1.441,1.446,2,3,4,1,100,33.7,1432
8,16,4096,62.94,43.865,30.225,2.082,1.435,1.451,4,6,9,1,100,25.3,1432
16,16,4096,64.06,44.325,30.28,2.116,1.445,1.464,8,12,18,0,100,21.2,1432
32,128,4096,64.23,45.26,32.225,1.993,1.419,1.404,17,24,33,1,100,34.6,1432
64,128,4096,65.385,45.615,32.265,2.026,1.433,1.414,33,47,67,1,100,55.4,1432
128,128,4096,68.84,46.77,33.005,2.086,1.472,1.417,62,92,130,0,100,27.4,1432
256,256,4096,77.625,51.35,33.42,2.323,1.512,1.537,111,167,257,0,100,25.3,1432
512,512,4096,82.745,54.78,36.89,2.243,1.51,1.485,208,314,466,0,100,19.4,1432
1024,1024,4096,112.075,61.535,46.505,2.41,1.821,1.323,307,558,739,0,100,26.9,1432
2048,2048,4096,192.865,83.21,69.935,2.758,2.318,1.19,356,826,983,0,100,15.8,1432
4096,4096,4096,352.52,123.905,116.875,3.016,2.845,1.06,390,1109,1176,0,100,11.4,1432
8192,8192,4096,670.755,207.78,208.095,3.223,3.228,0.998,410,1323,1321,0,100,8.3,1432
16384,16384,4096,1309.235,368.025,385.725,3.394,3.557,0.954,420,1494,1425,0,100,3.6,1432
32768,32768,4096,2585.095,692.13,738.535,3.5,3.735,0.937,425,1589,1489,0,100,4.9,1432
1,16,6144,108.945,52.45,42.15,2.585,2.077,1.244,1,1,2,1,100,46.6,1432
2,16,6144,107.4,52.535,42.09,2.552,2.044,1.248,1,3,4,1,100,18.3,1432
4,16,6144,107.415,51.86,42.155,2.548,2.071,1.23,3,6,7,1,100,27.1,1432
8,16,6144,108.525,53.115,42.435,2.557,2.043,1.252,6,11,14,1,100,17.6,1432
16,16,6144,108.445,52.14,41.995,2.582,2.08,1.242,11,23,29,0,100,19.2,1432
32,128,6144,109.715,53.22,44.885,2.444,2.062,1.186,22,45,54,1,100,26.4,1432
64,128,6144,111.325,53.465,44.435,2.505,2.082,1.203,43,90,109,1,100,17.5,1432
128,128,6144,118.575,56.075,45.385,2.613,2.115,1.236,81,172,213,0,100,44.3,1432
256,256,6144,132.14,61.71,52.82,2.502,2.141,1.168,146,313,366,0,100,21.6,1432
512,512,6144,146.35,73.335,62.16,2.354,1.996,1.18,264,527,622,0,100,13.9,1432
1024,1024,6144,211.88,88.585,75.77,2.796,2.392,1.169,365,873,1020,0,100,9.2,1432
2048,2048,6144,391.85,136.78,128.27,3.055,2.865,1.066,395,1130,1205,0,100,27.5,1432
4096,4096,6144,751.285,227.655,227.355,3.304,3.3,1.001,412,1358,1360,0,100,23.3,1432
8192,8192,6144,1468.125,407.12,426.07,3.446,3.606,0.956,421,1519,1452,0,100,3.5,1432
16384,16384,6144,2902.74,769.275,823.01,3.527,3.773,0.935,426,1608,1503,0,100,2.3,1432
32768,32768,6144,5767.875,1488.86,1609.65,3.583,3.874,0.925,429,1662,1537,0,100,1.7,1432
1,16,8192,111.21,59.685,57.905,1.921,1.863,1.031,1,2,2,1,100,23.7,1432
2,16,8192,111.675,60.225,58.175,1.92,1.854,1.035,2,4,5,1,100,19.3,1432
4,16,8192,111.005,60.47,57.99,1.914,1.836,1.043,5,9,9,1,100,18.9,1432
8,16,8192,110.655,60.22,57.8,1.914,1.838,1.042,10,18,19,1,100,27.4,1432
16,16,8192,111.33,60.32,57.72,1.929,1.846,1.045,19,36,37,0,100,16.7,1432
32,128,8192,116.04,61.295,60.01,1.934,1.893,1.021,37,70,72,1,100,20.8,1432
64,128,8192,121.05,62.68,60.42,2.003,1.931,1.037,71,137,142,1,100,12.3,1432
128,128,8192,124.93,65.72,60.49,2.065,1.901,1.086,138,261,284,0,100,16.7,1432
256,256,8192,144.28,67.415,66.065,2.184,2.14,1.02,238,510,520,0,100,37.6,1432
512,512,8192,230.065,92.825,76.365,3.013,2.478,1.216,299,740,900,0,100,13.7,1432
1024,1024,8192,353.07,128.745,115.07,3.068,2.742,1.119,389,1068,1194,0,100,7.2,1432
2048,2048,8192,675.295,208.12,202.135,3.341,3.245,1.03,407,1321,1360,0,100,23.4,1432
4096,4096,8192,1312.585,370.42,377.915,3.473,3.544,0.98,419,1484,1455,0,100,15.5,1432
8192,8192,8192,2587.51,688.34,732.425,3.533,3.759,0.94,425,1597,1501,0,100,7.0,1432
16384,16384,8192,5129.69,1327.45,1429.525,3.588,3.864,0.929,429,1657,1538,0,100,2.3,1432
32768,32768,8192,10224.78,2607.47,2826.07,3.618,3.921,0.923,430,1687,1556,0,77,0.8,1432
1,16,12288,214.045,87.125,111.17,1.925,2.457,0.784,1,3,3,1,100,10.7,1432
2,16,12288,214.165,87.85,111.045,1.929,2.438,0.791,3,7,5,1,100,12.6,1432
4,16,12288,215.52,88.59,112.035,1.924,2.433,0.791,6,14,11,1,100,142.1,1432
8,16,12288,215.945,88.615,112.16,1.925,2.437,0.79,11,27,22,1,100,14.7,1432
16,16,12288,217.12,88.335,111.865,1.941,2.458,0.79,22,55,43,0,100,16.4,1432
32,128,12288,220.165,91.605,118.99,1.85,2.403,0.77,44,105,81,1,100,10.3,1432
64,128,12288,227.445,95.155,119.755,1.899,2.39,0.795,85,203,161,1,100,22.8,1432
128,128,12288,229.305,99.915,118.325,1.938,2.295,0.844,169,387,327,0,100,14.6,1432
256,256,12288,335.385,127.44,132.055,2.54,2.632,0.965,231,607,585,0,100,17.8,1432
512,512,12288,425.095,164.165,147.21,2.888,2.589,1.115,364,942,1050,0,100,9.5,1432
1024,1024,12288,751.97,234.36,242.18,3.105,3.209,0.968,411,1319,1277,0,100,4.6,1432
2048,2048,12288,1470.185,417.91,436.605,3.367,3.518,0.957,421,1480,1417,0,100,3.6,1432
4096,4096,12288,2901.4,780.185,821.31,3.533,3.719,0.95,426,1585,1506,0,100,5.5,1432
8192,8192,12288,5764.11,1499.4,1593.635,3.617,3.844,0.941,429,1650,1552,0,100,1.2,1432
16384,16384,12288,11493.23,2943.3,3138.265,3.662,3.905,0.938,430,1681,1577,0,68,1.7,1432
32768,32768,12288,22956.695,5830.39,6213.805,3.694,3.937,0.938,431,1697,1593,0,34,1.1,1432
1,16,16384,360.065,128.125,172.96,2.082,2.81,0.741,1,4,3,1,100,8.8,1432
2,16,16384,359.325,125.5,174.1,2.064,2.863,0.721,3,9,6,1,100,8.2,1432
4,16,16384,359.33,125.275,173.63,2.07,2.868,0.722,6,17,12,1,100,9.4,1432
8,16,16384,360.08,125.045,173.345,2.077,2.88,0.721,12,34,25,1,100,9.5,1432
16,16,16384,362.155,127.73,172.2,2.103,2.835,0.742,24,67,50,0,100,7.7,1432
32,128,16384,369.8,129.41,176.635,2.094,2.858,0.733,46,133,97,1,100,11.1,1432
64,128,16384,375.51,137.35,177.15,2.12,2.734,0.775,92,250,194,1,100,8.3,1432
128,128,16384,384.345,141.245,178.655,2.151,2.721,0.791,179,487,385,0,100,9.0,1432
256,256,16384,442.76,142.02,185.775,2.383,3.118,0.764,310,968,740,0,100,9.5,1432
512,512,16384,731.595,239.415,226.035,3.237,3.056,1.059,376,1148,1216,0,100,7.9,1432
1024,1024,16384,1321.9,373.26,399.765,3.307,3.541,0.934,416,1473,1375,0,100,6.0,1432
2048,2048,16384,2596.645,698.115,737.11,3.523,3.72,0.947,423,1575,1492,0,100,4.7,1432
4096,4096,16384,5137.145,1334.215,1423.925,3.608,3.85,0.937,428,1648,1544,0,100,1.1,1432
8192,8192,16384,10228.66,2615.88,2786.88,3.67,3.91,0.939,430,1681,1578,0,77,1.6,1432
16384,16384,16384,20425.09,5168.03,5497.765,3.715,3.952,0.94,431,1702,1600,0,38,0.4,1432
32768,32768,16384,40782.18,10281.43,10958.17,3.722,3.967,0.938,431,1711,1605,0,19,0.6,1432
