m,m_run,kn,bf16_us,vendor_us,ours_us,ours_vs_bf16,vendor_vs_bf16,ours_vs_vendor,bf16_tfs,vendor_tfs,ours_tfs,padded,reps,spread_pct,copy_gbs
2,16,16384,361.615,130.28,172.285,2.099,2.776,0.756,3,8,6,1,100,11.0,1424
4,16,16384,361.505,130.32,172.06,2.101,2.774,0.757,6,16,12,1,100,10.6,1424
8,16,16384,363.72,131.115,171.99,2.115,2.774,0.762,12,33,25,1,100,8.3,1424
16,16,16384,366.235,133.055,172.175,2.127,2.753,0.773,23,65,50,0,100,56.2,1424
32,128,16384,373.275,136.185,177.2,2.107,2.741,0.769,46,126,97,1,100,14.4,1424
64,128,16384,376.87,141.24,177.295,2.126,2.668,0.797,91,243,194,1,100,7.1,1424
128,128,16384,386.3,144.355,176.2,2.192,2.676,0.819,178,476,390,0,100,8.4,1424
256,256,16384,443.095,154.04,187.225,2.367,2.876,0.823,310,892,734,0,100,8.5,1424
512,512,16384,718.605,242.725,225.96,3.18,2.961,1.074,383,1132,1216,0,100,5.5,1424
1024,1024,16384,1318.65,372.12,398.17,3.312,3.544,0.935,417,1477,1381,0,100,4.1,1424
2048,2048,16384,2593.765,693.005,737.1,3.519,3.743,0.94,424,1587,1492,0,100,1.7,1424
4096,4096,16384,5138.68,1334.24,1421.31,3.615,3.851,0.939,428,1648,1547,0,100,3.5,1424
8192,8192,16384,10229.78,2613.27,2780.29,3.679,3.915,0.94,430,1683,1582,0,77,2.6,1424
16384,16384,16384,20425.115,5168.195,5506.125,3.71,3.952,0.939,431,1702,1598,0,38,0.8,1424
32768,32768,16384,40783.87,10279.44,10947.26,3.725,3.968,0.939,431,1711,1607,0,19,0.6,1424
