m,m_run,kn,bf16_us,vendor_us,ours_us,ours_vs_bf16,vendor_vs_bf16,ours_vs_vendor,bf16_tfs,vendor_tfs,ours_tfs,padded,reps,spread_pct,copy_gbs
1,16,512,28.475,40.225,20.99,1.357,0.708,1.916,0,0,0,1,100,84.3,1435
2,16,512,28.395,40.68,21.58,1.316,0.698,1.885,0,0,0,1,100,85.4,1435
4,16,512,23.81,34.92,20.505,1.161,0.682,1.703,0,0,0,1,100,47.4,1435
8,16,512,24.03,35.7,20.11,1.195,0.673,1.775,0,0,0,1,100,76.4,1435
16,16,512,24.54,36.455,19.955,1.23,0.673,1.827,0,0,0,0,100,93.1,1435
32,128,512,24.03,36.725,20.86,1.152,0.654,1.761,1,0,1,1,100,50.5,1435
64,128,512,25.04,37.105,21.115,1.186,0.675,1.757,1,1,2,1,100,130.8,1435
128,128,512,24.0,35.2,20.715,1.159,0.682,1.699,3,2,3,0,100,289.5,1435
256,256,512,24.615,35.215,20.725,1.188,0.699,1.699,5,4,6,0,100,49.7,1435
512,512,512,25.34,35.15,20.48,1.237,0.721,1.716,11,8,13,0,100,39.7,1435
1024,1024,512,26.755,36.025,20.725,1.291,0.743,1.738,20,15,26,0,100,55.4,1435
2048,2048,512,28.07,36.36,21.03,1.335,0.772,1.729,38,30,51,0,100,57.0,1435
4096,4096,512,32.75,39.895,24.125,1.358,0.821,1.654,66,54,89,0,100,26.7,1435
8192,8192,512,39.57,41.165,27.385,1.445,0.961,1.503,109,104,157,0,100,34.9,1435
16384,16384,512,52.95,47.27,33.03,1.603,1.12,1.431,162,182,260,0,100,35.6,1435
32768,32768,512,78.65,58.015,45.4,1.732,1.356,1.278,218,296,378,0,100,61.7,1435
1,16,1024,25.365,34.525,20.15,1.259,0.735,1.713,0,0,0,1,100,36.7,1435
2,16,1024,25.095,34.835,20.285,1.237,0.72,1.717,0,0,0,1,100,71.3,1435
4,16,1024,25.495,35.305,20.345,1.253,0.722,1.735,0,0,0,1,100,62.9,1435
8,16,1024,24.765,34.42,20.14,1.23,0.719,1.709,1,0,1,1,100,29.8,1435
16,16,1024,24.755,34.745,20.325,1.218,0.712,1.709,1,1,2,0,100,34.0,1435
32,128,1024,25.605,35.075,21.5,1.191,0.73,1.631,3,2,3,1,100,747.5,1435
64,128,1024,25.64,35.045,21.175,1.211,0.732,1.655,5,4,6,1,100,34.2,1435
128,128,1024,26.145,35.14,21.845,1.197,0.744,1.609,10,8,12,0,100,73.4,1435
256,256,1024,26.815,35.415,21.725,1.234,0.757,1.63,20,15,25,0,100,29.8,1435
512,512,1024,28.735,35.895,21.735,1.322,0.801,1.651,37,30,49,0,100,33.9,1435
1024,1024,1024,31.73,38.76,22.57,1.406,0.819,1.717,68,55,95,0,100,48.2,1435
2048,2048,1024,37.06,40.295,25.22,1.469,0.92,1.598,116,107,170,0,100,78.7,1435
4096,4096,1024,46.545,42.31,29.78,1.563,1.1,1.421,185,203,288,0,100,32.4,1435
8192,8192,1024,67.53,49.145,38.355,1.761,1.374,1.281,254,350,448,0,100,21.5,1435
16384,16384,1024,109.55,62.005,54.835,1.998,1.767,1.131,314,554,627,0,100,57.0,1435
