m,m_run,kn,bf16_us,vendor_us,ours_us,ours_vs_bf16,vendor_vs_bf16,ours_vs_vendor,bf16_tfs,vendor_tfs,ours_tfs,padded,reps,spread_pct,copy_gbs
1,16,512,26.03,36.58,19.155,1.359,0.712,1.91,0,0,0,1,100,200.3,1424
2,16,512,26.47,37.85,19.72,1.342,0.699,1.919,0,0,0,1,100,52.9,1424
4,16,512,27.055,37.545,19.81,1.366,0.721,1.895,0,0,0,1,100,46.7,1424
8,16,512,26.95,37.915,19.55,1.379,0.711,1.939,0,0,0,1,100,61.2,1424
16,16,512,28.44,37.46,19.575,1.453,0.759,1.914,0,0,0,0,100,71.1,1424
32,128,512,27.085,38.9,20.435,1.325,0.696,1.904,1,0,1,1,100,46.4,1424
64,128,512,26.79,37.67,20.205,1.326,0.711,1.864,1,1,2,1,100,54.1,1424
128,128,512,26.66,37.035,19.61,1.36,0.72,1.889,3,2,3,0,100,46.1,1424
256,256,512,27.755,38.095,20.06,1.384,0.729,1.899,5,4,7,0,100,51.1,1424
512,512,512,27.58,37.52,19.6,1.407,0.735,1.914,10,7,14,0,100,49.5,1424
1024,1024,512,28.97,38.06,20.135,1.439,0.761,1.89,19,14,27,0,100,33.3,1424
2048,2048,512,31.425,38.27,20.515,1.532,0.821,1.865,34,28,52,0,100,33.5,1424
4096,4096,512,35.81,41.13,23.5,1.524,0.871,1.75,60,52,91,0,100,28.6,1424
8192,8192,512,42.65,42.56,26.68,1.599,1.002,1.595,101,101,161,0,100,25.3,1424
16384,16384,512,56.73,48.01,32.57,1.742,1.182,1.474,151,179,264,0,100,65.4,1424
32768,32768,512,81.83,62.255,45.48,1.799,1.314,1.369,210,276,378,0,100,18.2,1424
1,16,1024,27.765,35.88,18.995,1.462,0.774,1.889,0,0,0,1,100,46.5,1424
2,16,1024,28.225,36.17,19.305,1.462,0.78,1.874,0,0,0,1,100,38.6,1424
4,16,1024,28.435,36.925,19.23,1.479,0.77,1.92,0,0,0,1,100,48.6,1424
8,16,1024,28.015,36.585,19.16,1.462,0.766,1.909,1,0,1,1,100,40.1,1424
16,16,1024,28.13,36.88,19.025,1.479,0.763,1.939,1,1,2,0,100,93.3,1424
32,128,1024,28.425,37.4,20.685,1.374,0.76,1.808,2,2,3,1,100,52.4,1424
64,128,1024,29.155,37.79,21.18,1.377,0.772,1.784,5,4,6,1,100,136.3,1424
128,128,1024,30.08,38.25,20.84,1.443,0.786,1.835,9,7,13,0,100,32.3,1424
256,256,1024,30.765,38.67,21.025,1.463,0.796,1.839,17,14,26,0,100,32.6,1424
512,512,1024,31.735,38.54,21.52,1.475,0.823,1.791,34,28,50,0,100,23.8,1424
1024,1024,1024,35.48,41.265,21.64,1.64,0.86,1.907,61,52,99,0,100,39.5,1424
