m,m_run,kn,bf16_us,vendor_us,ours_us,ours_vs_bf16,vendor_vs_bf16,ours_vs_vendor,bf16_tfs,vendor_tfs,ours_tfs,padded,reps,spread_pct,copy_gbs
1,16,512,26.46,38.025,21.43,1.235,0.696,1.774,0,0,0,1,100,66.8,1427
2,16,512,27.865,38.33,21.495,1.296,0.727,1.783,0,0,0,1,100,85.6,1427
4,16,512,27.225,40.665,21.785,1.25,0.669,1.867,0,0,0,1,100,43.0,1427
8,16,512,28.105,40.43,21.795,1.29,0.695,1.855,0,0,0,1,100,42.2,1427
16,16,512,29.3,40.23,22.015,1.331,0.728,1.827,0,0,0,0,100,178.2,1427
32,128,512,27.805,39.395,22.115,1.257,0.706,1.781,1,0,1,1,100,53.6,1427
64,128,512,28.095,39.445,21.9,1.283,0.712,1.801,1,1,2,1,100,55.8,1427
128,128,512,27.71,39.66,22.09,1.254,0.699,1.795,2,2,3,0,100,47.4,1427
256,256,512,28.215,39.71,22.125,1.275,0.711,1.795,5,3,6,0,100,49.0,1427
512,512,512,27.86,39.19,21.92,1.271,0.711,1.788,10,7,12,0,100,48.0,1427
1024,1024,512,29.075,39.64,21.925,1.326,0.733,1.808,18,14,24,0,100,28.0,1427
2048,2048,512,31.295,41.855,22.44,1.395,0.748,1.865,34,26,48,0,100,45.2,1427
4096,4096,512,36.895,43.59,25.545,1.444,0.846,1.706,58,49,84,0,100,27.8,1427
8192,8192,512,43.625,44.72,28.015,1.557,0.976,1.596,98,96,153,0,100,35.5,1427
16384,16384,512,57.04,51.525,33.135,1.721,1.107,1.555,151,167,259,0,100,20.8,1427
32768,32768,512,82.115,64.49,47.52,1.728,1.273,1.357,209,266,362,0,100,19.2,1427
1,16,1024,29.135,40.905,22.28,1.308,0.712,1.836,0,0,0,1,100,196.3,1427
2,16,1024,28.37,39.98,22.04,1.287,0.71,1.814,0,0,0,1,100,43.7,1427
4,16,1024,28.245,39.29,21.525,1.312,0.719,1.825,0,0,0,1,100,51.0,1427
8,16,1024,28.625,40.25,21.91,1.306,0.711,1.837,1,0,1,1,100,41.5,1427
16,16,1024,29.22,40.49,22.125,1.321,0.722,1.83,1,1,2,0,100,64.6,1427
32,128,1024,28.055,38.56,22.315,1.257,0.728,1.728,2,2,3,1,100,56.0,1427
64,128,1024,28.225,38.55,22.305,1.265,0.732,1.728,5,3,6,1,100,147.5,1427
128,128,1024,29.135,39.35,22.53,1.293,0.74,1.747,9,7,12,0,100,43.5,1427
256,256,1024,30.555,40.11,22.79,1.341,0.762,1.76,18,13,24,0,100,31.1,1427
512,512,1024,32.505,42.815,23.525,1.382,0.759,1.82,33,25,46,0,100,67.8,1427
1024,1024,1024,34.65,42.595,23.32,1.486,0.813,1.827,62,50,92,0,100,32.2,1427
2048,2048,1024,39.435,42.915,26.16,1.507,0.919,1.64,109,100,164,0,100,32.1,1427
4096,4096,1024,51.345,46.4,30.385,1.69,1.107,1.527,167,185,283,0,100,22.5,1427
8192,8192,1024,69.74,51.39,39.145,1.782,1.357,1.313,246,334,439,0,100,21.8,1427
