k,two_us,fused_us,vs_two,rel,spread_pct,regime
32,29.1,13.6,2.14,0.0,9.2,launch-bound: 0.5M elements and 13.6 us is the dispatch floor
1024,37.5,27.2,1.38,0.0,14.5,cache-affected: the 32 MB intermediate fits the 128 MiB L2
4096,293.4,119.7,2.45,0.0,3.7,clean
16384,1206.1,474.6,2.54,0.0,1.3,clean
