k,batch,fused_us,copy_us,vs_copy,fused_gbs,copy_gbs,spread_pct
32,2097152,116.3,189.4,1.63,1461,1417,4.3
1024,65536,116.9,191.5,1.64,1453,1402,4.6
4096,16384,116.8,192.2,1.65,1454,1397,4.5
8192,8192,117.0,192.7,1.65,1452,1393,4.6
16384,4096,122.6,191.9,1.57,1386,1399,4.1
